id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
87,Light Green,False,Plate,Rectangle,2x8,16,False,0.0,1
88,Light Green,True,Brick,Square,2x2,4,False,0.0,1
89,Light Green,True,Plate,Rectangle,2x4,8,False,0.0,1
90,Light Green,True,Plate,Rectangle,2x8,16,False,0.0,1
91,Light Grey,False,Brick,Square,1x1,1,False,0.0,1
92,Light Pink,False,Brick,Rectangle,1x2,2,False,0.0,1
93,Light Pink,False,Plate,Circle,1x1,4,False,0.0,1
94,Light Pink,True,Brick,Square,2x2,4,False,0.0,1
95,Light Purple,False,Brick,Square,1x1,1,False,0.0,1
96,Lilac,False,Brick,Square,1x2,2,True,45.0,1
97,Lime Green,True,Plate,Rectangle,2x8,16,False,0.0,1
98,Maroon,False,Brick,Square,2x2,2,True,45.0,1
99,Mud Brown,False,Plate,Rectangle,1x4,4,False,0.0,1
100,Navy Blue,False,Plate,Rectangle,1x2,0,False,0.0,1
101,Navy Blue,False,Plate,Rectangle,2x8,16,False,0.0,1
102,Navy Blue,False,Plate,Trapezium,2x4,4,False,0.0,1
103,Neon Blue,False,Plate,Circle,1x1,0,False,0.0,1
104,Neon Dark Yellow,False,Plate,Circle,1x1,1,False,0.0,1
105,Neon Green,False,Plate,Circle,1x1,1,False,0.0,1
106,Neon Light Yellow,False,Plate,Circle,1x1,1,False,0.0,1
107,Neon Orange,False,Plate,Rectangle,1x2,2,False,0.0,1
108,Neon Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
109,Neon Yellow,False,Plate,Square,1x1,0,False,0.0,1
110,Neon Yellow,False,Plate,Square,1x1,0,True,30.0,1
111,Olive Green,False,Plate,Rectangle,1x2,2,False,0.0,1
112,Orange,False,Brick,Circle,1x1,1,False,0.0,1
113,Orange,False,Brick,Square,1x1,1,False,0.0,1
114,Orange,False,Brick,Square,1x2,2,True,45.0,1
115,Orange,False,Brick,Square,2x2,4,False,0.0,1
116,Orange,False,Plate,Circle,2x2,12,False,0.0,1
117,Orange,False,Plate,Rectangle,1x4,4,False,0.0,1
118,Orange,False,Plate,Rectangle,2x4,8,False,0.0,1
119,Orange,True,Brick,Square,2x2,4,False,0.0,1
120,Orchid,False,Brick,Rectangle,2x2,4,True,45.0,1
121,Peach,True,Brick,Square,2x2,4,False,0.0,1
122,Pear,False,Plate,Rectangle,1x2,2,False,0.0,1
123,Pear,False,Plate,Rectangle,1x4,0,False,0.0,1
124,Pink,False,Brick,Rectangle,1x2,1,True,45.0,1
125,Pink,False,Brick,Rectangle,1x2,2,False,0.0,1
126,Pink,False,Brick,Rectangle,1x2,2,True,45.0,1
127,Pink,False,Brick,Rectangle,1x3,3,False,0.0,1
128,Pink,False,Plate,Rectangle,2x3,6,False,0.0,1
129,Pink,False,Plate,Rectangle,4x6,24,False,0.0,1
130,Pink,True,Brick,Square,2x2,4,False,0.0,1
131,Purple,False,Brick,Rectangle,1x2,2,False,0.0,1
132,Purple,False,Brick,Rectangle,2x4,8,False,0.0,1
133,Purple,False,Brick,Square,2x2,4,False,0.0,1
134,Purple,False,Plate,Rectangle,1x2,2,False,0.0,1
135,Purple,False,Plate,Rectangle,4x6,24,False,0.0,1
136,Purple,False,Plate,Square,1x1,0,False,0.0,1
137,Purple,True,Brick,Square,2x2,4,False,0.0,1
138,Red,False,Brick,Circle,2x2,4,False,0.0,2
139,Red,False,Brick,Rectangle,1x1,1,True,45.0,1
