name,artist,html,dbscan_cluster,playlist_name
Oração                                                                                                                                                                           ,A Banda Mais Bonita da Cidade                   ,https://open.spotify.com/track/0YBq701BXkMaK6V5UyvOpT,1,Feel Good Pop
O Leaozinho                                                                                                                                                                      ,Caetano Veloso                                  ,https://open.spotify.com/track/0SieRhHp1mnsVN8DbGTTuA,1,Feel Good Pop
"Symphony No. 7 in C Major, Op. 105                                                                                                                                             ",Jean Sibelius                                   ,https://open.spotify.com/track/4gDgBiFHHWI4Oe7G2jC0sU,1,Feel Good Pop
"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice                                                                                           ",Hector Berlioz                                  ,https://open.spotify.com/track/1SHixA41Vy0TTlJJSX9Gbo,1,Feel Good Pop
"Symphony No. 39 in E-Flat Major, K. 543: IV. Finale. Allegro                                                                                                                   ",Berliner Philharmoniker                         ,https://open.spotify.com/track/11W7nrD4T26Q0p4bXj53Hm,1,Feel Good Pop
Das Rheingold: Einzug der Götter in Walhall                                                                                                                                      ,Richard Wagner                                  ,https://open.spotify.com/track/6y5U4NlIAuLFWqt3lRbe5j,1,Feel Good Pop
Sampa - Live                                                                                                                                                                     ,Caetano Veloso                                  ,https://open.spotify.com/track/38hizYSleQ0861n2jyS7MR,1,Feel Good Pop
Confidence - Live                                                                                                                                                                ,Tasha Cobbs Leonard                             ,https://open.spotify.com/track/5J0TvJIdYrybgk6SINgieR,1,Feel Good Pop
Ask For Rain                                                                                                                                                                     ,Gene Moore                                      ,https://open.spotify.com/track/2OxoHNoWHhIn6oGi7IbJpV,1,Feel Good Pop
Coração Vagabundo                                                                                                                                                                ,Caetano Veloso                                  ,https://open.spotify.com/track/5NDmf6BvOSrzcJhAtpvV0U,1,Feel Good Pop
Life On Mars - 1999 Remaster                                                                                                                                                     ,David Bowie                                     ,https://open.spotify.com/track/1mSU6b0jPDR022Vpw6PU1U,1,Feel Good Pop
